cb	mojikyo	entity	uni_flag	unicode	nor_unicode	des	nor	cx
14427			0	2457D		[爿*釆]	檣	
14428						[爿*侖]		
14429						[爿*專]		
14430						[爿*殳]		
14431						[爿*巠]		
14432			0	4757		[豸*木]	貅	
14433						[宭-口]		
14434						[髟/別]		
14435						[軗/疋]		
14436			1	72C7		[猱-矛]		
14437						[榖-一]		
14438						[十-〡+丫]		
14439			0	203AE		[仁-二+厥]		
14440						[乏-之+小]	個	
14441						[乏-之+尢]		
14442						[打-丁+ㄗ]		
14443			0	22BE6		[打-丁+來]		
14444			0	22BF7		[打-丁+韋]		
14445						[打-丁+庸]		
14446						[打-丁+曇]		
14447			1	7534		[由-十+┴]	由	
14448			0	206CC		[利-禾+冘]		
14449			0	221F9		[序-予+丘]		
14450						[序-予+直]		
14451						[序-予+敝]		
14452			0	2223B		[序-予+疌]		
14453			1	6213		[戒-廾+口]		
14454						[狂-王+分]		
14455						[狂-王+鬼]		
14456			0	28794		[邑*共*邑]	巷	
14457			0	22839		[怡-台+斯]		
14458			1	6CCE		[泳-永+乍]	灂	
14459			0	23F36		[泳-永+問]		
14460						[玩-兀+ㄆ]		
14461			1	7B1C		[竺-二+出]		
14462			0	271C3		[虎-儿+林]		
14463						[阿-可+長]		
14464						[阿-可+尃]		
14465						[害-口+缶]	寶	
14466						[桓-旦+几]	杌	
14467						[梳-木+禾]		
14468			0	26020		[梳-木+糸]		
14469						[病-丙+何]		
14470						[病-丙+粟]		
14471			0	24EC2		[病-丙+睪]		
14472						[脈-月+彳]		
14473						[茫-亡+幸]		
14474						[訊-言+盡]		
14475			1	9679		[陞-土+日]	昇	
14476						[飢-几+音]		
14477						[尉-示+巾]		
14478			0	24595		[將-寸+酉]	醬	
14479						[從-彳+言]		
14480			0	22C0F		[授-又+子]	挬	
14481			1	8878		[袖-由+介]		
14482			0	27657		[袖-由+右]		
14483						[絢-日+目]		
14484						[腕-夗+售]		
14485						[開-廾+口]		
14486						[匯-隹+含]		
14487						[葵-天+瓦]		
14488						[跳-兆+業]		
14489						[跳-兆+闡]		
14490						[雋-隹+雔]		
14491						[彰-章+示]		
14492						[稱-禾+木]		
14493						[韶-日+口]		
14494						[線-白+台]		
14495			0	25CE0		[篷-夆+虎]	篪	
14496						[糯-雨+禾]		
14497						[蠣-萬+口]		
14498						[蠢-春+象]		
14499						[坨-匕+兆]		
14500						[莇-且+田]		
14501			0	22FFB		[甐-瓦+ㄆ]	斕	
14502			0	26251		[罅-山+止]	罅	
14503						[譧-兼+直]		
14504			0	29C5F		[鬻-米+每]	粥	
14505						[(甬-用)-、]		
14506						[(爿*殳)/牛]		
14507						[土*(曲/八)]		
14508						[月*(央/月)]		
14509						[禾*(血/絲)]		
14510			0		4996	[門@(土/口)]		
14511			0		20737	[(├/日/匕)*刀]		
14512						[(口*口*口)/巨]		
14513						[(大/一/┬)*炎]		
14514						[(哉-口)-十+木]		
14515			0	228A1		[(敖-士+出)/心]	傲	
14516						[(复-ㄆ+匕)*召]		
14517						[〦/(刀*刀)/貝]		
14518						[〦/(夕*夕)/木]		
14519						[仁-二+(┴/┬)]		
14520						[分/(米*糸)/廾]		
14521						[火*(充-儿+几)]		
14522			1	4E24		[丙-人+(人*人)]	兩	
14523						[乏-之+(└*几)]		
14524						[穴/(阿-可+圭)]		
14525						[狂-王+(幅-巾)]		
14526						[足-(口/├)+乍]		
14527						[乳-爪+(罩-卓)]		
14528						[杵-十+(十/工)]		
14529						[挖-乙+(昦-日)]		
14530			0	23E62		[涌-用+(圉-土)]	涵	
14531						[莉-禾+(〦/羊)]		
14532						[袖-由+(旋-方)]	旋	
14533						[袖-由+(嘆-口)]		
14534						[詢-日+(土/口)]		
14535						[膺-倠+(券-刀)]		
14536						[壙-黃+(雍-〦)]		
14537						[惲-車+(葍-卄)]		
14538						[憢-垚+(坐-工)]		
14539						[(日/匕)*(白/儿)]		
14540						[(旅-方)-(乞-乙)]		
14541			0		215DC	[(嘹-口)-(日/小)]		
14542			0	25212		[目*((茲-卄)/廾)]		
14543						[一/自/(止*止)/ㄆ]		
14544						[企-止+((?*?)/八)]		
14545						[冰-水+(竺-二+夷)]		
14546						[向-口+(一/人/人)]		
14547						[岐-十+(乞-乙+〡)]		
14548						[卑-(白-日+田)+日]		
14549						[病-丙+(告-口+十)]		
14550						[敲-高+(壹-豆+豕)]		
14551						[邁-禺+(烈-列+白)]		
14552						[爿-〡+(序-予+截)]		
14553						[咒-几+(罩-卓+儿)]		
14554						[卄/(甬-用+(囗@羊))]	菡	
14555						[打-丁+((ㄇ@人)/直)]		
14556			1	4F1E		[企-止+(米-(企-止))]	傘	
14557						[厂@(丫-〡+(丁-一))]		
14558						[(凵@口)/田/(企-止+土)]		
14559						[口*(匕/示)*(企-止+米)]		
14560						[日*(采-木+(百-日+ㄎ))]		
14561						[序-予+((阿-可+隹)/公)]		
14562						[(疆-(彊-弓))-土+(囗@必)]		
14563						[(虍-七+(一/谷))*(只/ㄆ)]		
14565						[自/穴/(同-(一/口)+(石-一))]		
14566						[ㄙ/(刃*工*刃)/一/(八*、)/口]		
14567						[(刃*(ㄙ/工)*刃)/一/(八*、)/口]		
14568						[(木-(企-止)+((人/人)*(人/人)))/木]		
14569			1	3288		[○@九]		
14570						[卄/兵]		
14571						[口*蔓]		
14572			0	266A3		[月*艮]		
14573			0	3B68		[木*邪]	椰	
14574						[水/仚]		
14575						[王*迮]		
14576						[出*回]		
14577						[回*或]		
14578						[門@青]		
14579						[珀/廾]		
14580						[襭-吉]		
14581						[仁-二+恃]		
14582						[王@(?*?)]		
14583						[打-丁+賈]	檟	
14584						[佇-丁+卜]		
14585			0	3974		[怡-台+虒]		
