001##T0001   22,長阿含經                                 ,【後秦 佛陀耶舍共竺佛念譯】
008##T0236b   1,金剛般若波羅蜜經                             ,【元魏 菩提流支譯】
008##T0237    1,金剛般若波羅蜜經                             ,【陳 真諦譯】
008##T0238    1,金剛能斷般若波羅蜜經                         ,【隋 笈多譯】
008##T0239    1,佛說能斷金剛般若波羅蜜多經                   ,【唐 義淨譯】
008##T0240    1,實相般若波羅蜜經                             ,【唐 菩提流志譯】
008##T0241    1,金剛頂瑜伽理趣般若經                         ,【唐 金剛智譯】
008##T0242    1,佛說遍照般若波羅蜜經                         ,【宋 施護譯】
008##T0243    1,大樂金剛不空真實三麼耶經                     ,【唐 不空譯】
008##T0244    7,佛說最上根本大樂金剛不空三昧大教王經         ,【宋 法賢譯】
008##T0245    2,佛說仁王般若波羅蜜經                         ,【姚秦 鳩摩羅什譯】
008##T0246    2,仁王護國般若波羅蜜多經                       ,【唐 不空譯】
008##T0247    1,佛說了義般若波羅蜜多經                       ,【宋 施護譯】
008##T0248    1,佛說五十頌聖般若波羅蜜經                     ,【宋 施護譯】
008##T0249    1,佛說帝釋般若波羅蜜多心經                     ,【宋 施護譯】
008##T0250    1,摩訶般若波羅蜜大明咒經                       ,【姚秦 鳩摩羅什譯】
008##T0251    1,般若波羅蜜多心經                             ,【唐 玄奘譯】
008##T0252    1,普遍智藏般若波羅蜜多心經                     ,【唐 法月重譯】
008##T0253    1,般若波羅蜜多心經                             ,【唐 般若共利言等譯】
008##T0254    1,般若波羅蜜多心經                             ,【唐 智慧輪譯】
008##T0255    1,般若波羅蜜多心經                             ,【唐 法成譯】
008##T0256    1,唐梵翻對字音般若波羅蜜多心經                 ,【】
008##T0257    1,佛說聖佛母般若波羅蜜多經                     ,【宋 施護譯】
008##T0258    1,佛說聖佛母小字般若波羅蜜多經                 ,【宋 天息災譯】
008##T0259    1,佛說觀想佛母般若波羅蜜多菩薩經               ,【宋 天息災譯】
008##T0260    4,佛說開覺自性般若波羅蜜多經                   ,【宋 惟淨等譯】
008##T0261   10,大乘理趣六波羅蜜多經                         ,【唐 般若譯】
09a##T0262    7,妙法蓮華經                               ,【姚秦 鳩摩羅什譯】
09a##T0263   10,正法華經                                 ,【西晉 竺法護譯】
09a##T0264    7,添品妙法蓮華經                           ,【隋 闍那崛多共笈多譯】
09a##T0265    1,薩曇分陀利經                             ,【失譯】
09a##T0266    3,佛說阿惟越致遮經                         ,【西晉 竺法護譯】
09a##T0267    4,不退轉法輪經                             ,【失譯】
